Level	Others	RiPPs	NRPS	PKS	Terpene
f__E44-bin32	0	0	0	0	0
f__EnvOPS12	8	2	8	3	19
f__JABWBV01	0	0	0	0	0
f__JACQED01	0	0	0	0	0
f__RBG-16-64-43	0	0	0	1	0
f__UBA11579	0	0	0	0	0
f__UBA11657	1	0	0	0	1
f__UBA11858	1	0	0	0	3
f__UBA4823	0	0	3	0	2
f__UBA6663	1	0	0	0	1
f__UBA6668	0	0	0	0	0
f__VGOW01	0	0	0	0	0
f__Ardenticatenaceae	0	0	0	0	0
f__JAADHH01	0	0	0	0	0
f__B4-G1	0	0	0	0	0
f__DUEL01	0	0	0	0	0
f__SLSP01	0	0	0	0	0
f__Caldilineaceae	0	3	0	0	0
f__CG2-30-64-16	0	1	0	0	3
f__DRVO01	0	0	0	0	0
f__DSLN01	0	0	0	0	0
f__DTLA01	0	0	0	0	0
f__DTPP01	0	0	0	0	0
f__DUEN01	0	0	0	0	0
f__E26-bin7	0	0	0	0	0
f__J102	0	0	0	0	0
f__JAADDB01	0	0	0	0	0
f__JAAEKA01	0	0	0	0	0
f__JAAYEA01	0	0	0	0	0
f__JAAYZQ01	1	0	4	0	1
f__JACIWP01	0	0	0	0	0
f__JACIWR01	0	0	0	0	0
f__JACRMK01	0	0	0	0	0
f__JAFGEY01	0	0	0	0	0
f__JAHJIN01	0	0	0	0	0
f__Promineofilaceae	0	0	0	0	0
f__UBA4811	0	0	0	0	0
f__S016-19	0	0	0	0	0
f__S140-20	0	0	0	0	0
f__SpSt-313	0	0	0	0	0
f__SpSt-600	0	0	0	0	0
f__SSC4	0	0	0	0	0
f__Fen-1058	0	0	0	0	0
f__J036	0	0	0	0	0
f__Thermoflexaceae	0	0	0	0	3
f__UBA1429	0	0	0	0	0
f__JACIWT01	0	0	0	0	0
f__UBA2200	0	1	0	0	0
f__UBA3071	0	0	0	0	0
f__SHND01	1	2	0	0	1
f__UBA4142	0	0	1	0	0
f__B3-Chlor	0	0	0	0	0
f__UBA7937	0	0	0	0	0
f__JAANWY01	0	0	0	0	0
f__SHYO01	0	0	0	0	0
f__UCB3	0	0	0	0	1
f__VGOG01	0	0	0	0	0
f__54-19	0	0	0	0	0
f__JADMIH01	0	0	0	0	0
f__QHBQ01	0	0	0	0	0
f__Chloroflexaceae	0	0	0	0	0
f__Herpetosiphonaceae	0	0	0	0	0
f__Roseiflexaceae	0	0	0	0	2
f__DTKN01	0	0	0	0	0
f__Thermobaculaceae	0	0	0	0	0
f__CADCWN01	0	0	0	0	0
f__CFX8	1	2	0	0	1
f__Thermomicrobiaceae	1	0	0	0	1
f__UBA6265	1	0	0	0	0
f__Bin125	0	0	0	0	0
f__ARS1013	1	0	0	0	0
f__BS750m-G39	0	0	0	0	0
f__CSSed11-197	0	0	0	0	0
f__Dehalococcoidaceae	0	0	0	0	0
f__E44-bin46	0	0	0	0	0
f__E44-bin88	0	0	0	0	0
f__Fen-1064	5	0	0	1	0
f__GCA-2688105	0	0	0	0	0
f__JACPPQ01	0	0	0	0	0
f__JACQON01	0	0	0	0	0
f__JAFGLR01	0	0	0	0	0
f__JAHJRU01	0	0	0	0	0
f__RBG-16-60-22	0	0	0	0	1
f__S120	0	0	0	0	0
f__SOJS01	0	0	0	0	0
f__SURF-40	0	0	0	0	0
f__UBA1222	0	0	0	0	0
f__UBA2162	0	0	0	0	0
f__UBA3254	0	0	0	0	0
f__UBA4087	0	0	0	0	0
f__UBA5627	0	0	0	0	0
f__UBA5760	1	0	0	0	1
f__W111	0	0	0	0	0
f__W498	0	0	0	0	0
f__DSGV01	0	0	0	0	0
f__JACRBR01	0	0	0	0	0
f__RBG-16-68-14	0	0	0	0	0
f__WHTK01	0	0	0	0	0
f__E44-bin15	1	0	0	0	0
f__FW602-bin16	0	0	0	0	0
f__GCA-2717565	0	0	4	0	0
f__AB-539-J10	1	0	0	0	0
f__UBA5620	0	0	0	0	0
f__UBA5629	0	0	0	0	0
f__JABGRK01	0	0	0	0	0
f__JACPEP01	0	0	0	0	0
f__JACPPT01	0	0	0	0	0
f__JACPPY01	0	0	0	0	0
f__JACPQD01	0	0	0	0	0
f__JACPQF01	0	0	0	0	0
f__JACPQK01	0	0	0	0	0
f__JACPQL01	0	0	0	0	0
f__JACQGW01	0	0	0	0	0
f__JACQTR01	0	0	0	0	0
f__JACQTT01	0	0	0	0	0
f__JACQUA01	0	0	0	0	0
f__JACQUD01	0	0	0	0	0
f__JACQUE01	0	0	0	0	0
f__JACVQG01	0	0	0	0	0
f__JAHKAY01	0	0	0	0	0
f__JAENJB01	0	0	0	0	0
f__JACQUO01	0	0	0	0	0
f__JdFR-54	0	0	0	0	0
f__Plut-88900	0	0	0	0	0
f__RBG-13-53-26	0	0	1	0	0
f__GCA-002694895	0	0	0	0	0
f__GCA-002723415	0	0	0	0	5
f__GCA-2719675	0	0	0	0	2
f__GCA-2722455	0	0	0	0	0
f__OSU-TB39	0	0	2	0	10
f__UBA11138	3	1	7	0	32
f__UBA2962	0	0	0	0	18
f__UBA6927	0	0	3	0	6
f__UBA826	0	0	8	0	0
f__VGZR01	0	0	0	0	0
f__SAR202-VII-2	0	0	0	0	0
f__VXLM01	2	0	0	0	6
f__SHXV01	0	0	0	0	0
f__JACPQI01	0	0	0	0	0
f__SHYB01	0	0	0	0	0
f__SHYL01	0	0	0	0	0
f__JACQUQ01	0	0	0	0	0
f__SHYC01	2	0	1	0	0
f__SHYD01	0	0	2	0	0
f__SHYM01	0	0	0	0	0
f__HRbin24	0	0	0	0	1
f__RBG-16-64-32	1	0	0	0	1
f__SM23-28-2	0	0	0	0	0
f__WHTN01	0	0	0	0	0
f__SpSt-223	0	0	0	0	0
f__SpSt-899	0	0	0	0	0
f__SZUA-161	0	0	0	0	0
f__Tepidiformaceae	0	0	0	0	0
f__HRBIN23	0	0	0	0	1
f__JACPCK01	0	0	0	0	0
f__JACQUN01	0	0	0	0	0
f__SHYT01	0	0	0	0	0
f__UBA1127	0	2	0	0	3
f__Bin127	4	0	0	0	64
f__SHXW01	0	1	1	0	1
f__TMED-70	0	0	0	0	163
f__UBA1151	0	0	0	0	1
f__UBA1328	0	0	0	0	0
f__UBA2247	0	0	0	0	0
f__UBA2777	0	0	0	0	0
f__UBA2963	0	0	0	0	2
