ID	Marine	Freshwater	Terrestrialr
Bacteria|Actinobacteriota|Actinomycetia|Acidothermales|Acidothermaceae	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Actinomycetales|Actinomycetaceae	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Actinomycetales|Angustibacteraceae	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Actinomycetales|Beutenbergiaceae	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Actinomycetales|Bifidobacteriaceae	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Actinomycetales|Brevibacteriaceae	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Actinomycetales|Cellulomonadaceae	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Actinomycetales|Demequinaceae	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Actinomycetales|Dermabacteraceae	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Actinomycetales|Dermatophilaceae	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Actinomycetales|GCA-002748415	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Actinomycetales|Kineococcaceae	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Actinomycetales|Kineosporiaceae	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Actinomycetales|Microbacteriaceae	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Actinomycetales|Micrococcaceae	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Actinomycetales|Quadrisphaeraceae	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Euzebyales|Egibacteraceae	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Euzebyales|Euzebyaceae	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|JACCUZ01|JACCUZ01	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|JACCYY01|JACCYY01	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Jiangellales|Jiangellaceae	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Motilibacterales|Motilibacteraceae	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Mycobacteriales|Antricoccaceae	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Mycobacteriales|CADCTP01	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Mycobacteriales|CAJCIY01	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Mycobacteriales|Cryptosporangiaceae	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Mycobacteriales|Frankiaceae	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Mycobacteriales|Geodermatophilaceae	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Mycobacteriales|HKI-0501	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Mycobacteriales|JADGOU01	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Mycobacteriales|JADGOV01	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Mycobacteriales|JAFAQI01	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Mycobacteriales|Jatrophihabitantaceae	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Mycobacteriales|Micromonosporaceae	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Mycobacteriales|Mycobacteriaceae	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Mycobacteriales|Nakamurellaceae	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Mycobacteriales|Pseudonocardiaceae	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Mycobacteriales|QHCA01	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Mycobacteriales|QHCD01	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Mycobacteriales|QHCE01	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Mycobacteriales|SCTD01	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Nanopelagicales|AcAMD-5	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Nanopelagicales|CAIKAW01	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Nanopelagicales|CAIYMF01	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Nanopelagicales|FW305-bin1	1	1	1
Bacteria|Actinobacteriota|Actinomycetia|Nanopelagicales|GCA-2699445	1	1	1
