ID	niches
anoxic_mOTU_2222	Freshwater
3300024902_4	Freshwater
3300024911_3	Freshwater
3300024914_7	Freshwater
3300024917_5	Freshwater
3300024948_4	Freshwater
3300024962_5	Freshwater
anoxic_mOTU_1337	Freshwater
anoxic_mOTU_0280	Freshwater
3300017518_24	Freshwater
3300019752_6	Freshwater
anoxic_mOTU_0616	Freshwater
3300024970_3	Freshwater
anoxic_mOTU_0577	Freshwater
3300027851_41	Freshwater
3300017418_10	Freshwater
anoxic_mOTU_2548	Freshwater
anoxic_mOTU_1283	Freshwater
anoxic_mOTU_1989	Freshwater
3300017418_8	Freshwater
anoxic_mOTU_1054	Freshwater
3300017505_27	Freshwater
3300029902_14	Freshwater
3300017453_12	Freshwater
3300020084_46	Freshwater
3300021093_49	Freshwater
3300027793_28	Freshwater
anoxic_mOTU_0103	Freshwater
3300014208_154	Freshwater
3300017434_22	Freshwater
anoxic_mOTU_0954	Freshwater
anoxic_mOTU_2174	Freshwater
3300028602_33	Freshwater
anoxic_mOTU_1526	Freshwater
anoxic_mOTU_2369	Freshwater
3300013006_43	Freshwater
3300022743_8	Freshwater
3300017788_38	Freshwater
3300027835_59	Freshwater
anoxic_mOTU_1419	Freshwater
3300007722_49	Freshwater
3300027976_68	Freshwater
anoxic_mOTU_0105	Freshwater
3300027649_12	Freshwater
3300027770_21	Freshwater
anoxic_mOTU_0476	Freshwater
anoxic_mOTU_1279	Freshwater
3300014613_10	Freshwater
3300029821_21	Freshwater
3300013126_122	Freshwater
3300013131_145	Freshwater
3300014720_96	Freshwater
3300020183_62	Freshwater
3300020190_74	Freshwater
3300020193_54	Freshwater
3300020197_74	Freshwater
3300020204_68	Freshwater
3300020221_86	Freshwater
3300021091_80	Freshwater
3300021376_76	Freshwater
3300021424_57	Freshwater
anoxic_mOTU_0466	Freshwater
3300015360_72	Freshwater
3300020213_28	Freshwater
3300020180_34	Freshwater
3300020192_38	Freshwater
3300020203_27	Freshwater
3300015360_94	Freshwater
3300013137_67	Freshwater
3300027815_35	Freshwater
3300027819_76	Freshwater
3300027819_64	Freshwater
3300027819_74	Freshwater
3300020057_30	Freshwater
3300020596_39	Freshwater
